# Cylinder reconstruction error vs Re — boundary K400 + FED128 + ALM(ρ=0.3) + 三-bug-fix
# sweep: sorted 每 5 個（1781 from 4261；2343-4968 from 4271-4276；5531-9843 from 4285-4292）
# ref:   10031（job 4235，§4.15B 既有湍流錨點，非 every-5th sweep）
# ref 欄位：1 = 既有參考點（獨立星號），0 = every-5th sweep 點（連線）
Re,u_rel,v_rel,ke_rel,omega,ref
1781,0.0297,0.0700,0.0488,0.4354,0
2343,0.0571,0.1982,0.1059,0.7796,0
2906,0.0697,0.1818,0.1261,0.8788,0
3375,0.0700,0.2143,0.1277,1.2836,0
4031,0.0583,0.1762,0.1033,1.3417,0
4500,0.0613,0.1628,0.1100,1.5671,0
4968,0.0786,0.2244,0.1389,1.9387,0
5531,0.1006,0.2538,0.1748,2.4301,0
6093,0.1066,0.2984,0.2056,2.7097,0
7031,0.0882,0.2671,0.1616,3.0769,0
7781,0.1386,0.3951,0.2599,3.8614,0
8343,0.1637,0.4401,0.3039,4.0568,0
8812,0.1466,0.3941,0.2557,4.7225,0
9281,0.1357,0.3880,0.2595,4.8183,0
9843,0.1442,0.4186,0.2661,5.5501,0
10031,0.1353,0.3898,0.2457,5.7027,1
