# Cylinder reconstruction error vs Re —— 黏滯修正（88d2447 C1: nu = u_inf*D/Re）後重跑
# 舊批見 cylinder_re_sweep.csv（跑在 4dd366d，nu 仍為 1/Re，高估黏性 100-570 倍）
# jobs: 1781 from 5776；2343-9843 from 5806-5819。單 seed=42，STEPS=16000，N_COLLO=512
# 入口 scripts/legacy/train_cylinder_v1.py；15 支跨 HEAD 41c5ebe/66dbf50/afc89c4，
#   三者之間不含 cylinder 程式碼變更（git diff --name-only 查證，只動 knowledge 與 thesis）
# Re=10031 為既有湍流參考點（非 every-5th sweep），job 5830 於 2026-09-17 同協定重跑；ref 欄=1
# ⚠️ log 標頭的 [cyl_v1_re1781] 是 template 寫死的標籤，實際 Re 以 banner 的 DATA= 與 Re= 為準
Re,u_rel,v_rel,ke_rel,omega,div_l2,ke_ratio,job,ref
1781,0.0388,0.0918,0.0690,0.4726,234.4180,0.9739,5776,0
2343,0.0454,0.1352,0.0793,0.7527,301.5368,0.9876,5806,0
2906,0.0578,0.1728,0.1125,0.9196,350.0080,0.9536,5807,0
3375,0.0621,0.1977,0.1054,1.1292,401.2193,0.9812,5808,0
4031,0.0710,0.2102,0.1243,1.6038,459.5589,0.9659,5809,0
4500,0.0746,0.2350,0.1386,1.6978,481.9474,0.9678,5810,0
4968,0.0768,0.2363,0.1399,1.9866,560.9570,0.9617,5811,0
5531,0.0997,0.2613,0.1810,2.2024,543.0212,0.9506,5812,0
6093,0.1037,0.2704,0.2003,2.5892,635.9669,0.9469,5813,0
7031,0.1111,0.3378,0.2235,3.5342,572.9402,0.9226,5814,0
7781,0.0822,0.2574,0.1535,3.7118,908.0257,0.9720,5815,0
8343,0.1590,0.4680,0.2966,4.8495,445.3685,0.9016,5816,0
8812,0.1074,0.3458,0.2043,4.5887,838.2977,0.9621,5817,0
9281,0.1549,0.4165,0.2890,4.7590,668.1932,0.9040,5818,0
9843,0.1673,0.4772,0.3134,5.5347,538.8167,0.8845,5819,0
10031,0.1621,0.4524,0.2951,5.5544,623.3106,0.9091,5830,1
